dr_no,date_occ,date_rptd,time_occ,area_name,latitude,longitude,rpt_dist_no,mocodes,vict_age,vict_sex,vict_descent,premis_cd,location,cross_street,TMAX,TMIN,PRCP
200510767,2020-06-18,2020-06-18,17:00,long_beach,33.8534,-118.2905,0505,"{3037,3011,3028,3030,3101}",36,Unknown,Hispanic,101,PACIFIC_COAST_HY,unknown,21.1,16.1,0
200510767,2020-06-18,2020-06-18,17:00,long_beach,33.8534,-118.2905,0505,"{3037,3011,3028,3030,3101}",,Unknown,Hispanic,101,PACIFIC_COAST_HY,unknown,21.1,16.1,0
200510767,2020-06-18,2020-06-18,17:00,long_beach,33.8534,-118.2905,0505,"{3037,3011,3028,3030,3101}",,Unknown,Hispanic,101,PACIFIC_COAST_HY,,21.1,16.1,0
200510768,2020-06-18,2020-06-18,19:45,long_beach,33.7817,-118.3041,0512,"{3037,3004,3028,3030,3101}",30,M,Other Asian,101,FRAMPTON,ANAHEIM,21.1,16.1,0
200510803,2020-06-19,2020-06-20,19:20,long_beach,33.7183,-118.2994,0584,"{4025,3037,3011,3025,3101}",17,M,Hispanic,101,S_ALMA_ST,30TH_ST,23.9,17.2,0
200510813,2020-06-19,2020-06-20,10:20,long_beach,33.7954,-118.2636,0515,"{4025,3037,3004,3026,3101}",15,M,Hispanic,101,AVALON_BL,Q_ST,23.9,17.2,0
200510825,2020-06-19,2020-06-19,17:45,long_beach,33.7916,-118.2563,0518,"{3037,3004,3025,3101}",59,M,Hispanic,101,PACIFIC_COAST,EUBANK_AV,23.9,17.2,0
200510826,2020-06-20,2020-06-20,05:10,long_beach,33.7442,-118.2923,0555,"{3037,3011,3028,3030,3101}",64,F,Hispanic,101,SANTA_CRUZ_ST,GAFFEY,23.9,16.7,0
200510838,2020-06-20,2020-06-20,19:53,long_beach,33.737,-118.2923,0565,"{3037,3004,3030,3101}",37,F,Other,101,GAFFEY,8TH,23.9,16.7,0
200510848,2020-06-20,2020-06-21,12:50,long_beach,33.7501,-118.3092,0541,"{4025,3037,3004,3028,3030,3101}",28,F,White,108,WESTERN_AV,CRESTWOOD_ST,23.9,16.7,0
200510862,2020-06-20,2020-06-21,22:38,long_beach,33.7978,-118.3075,0509,"{4025,3037,3006,3028,3030}",28,F,Black,108,WESTERN,LOMITA,23.9,16.7,0
200510870,2020-06-21,2020-06-21,18:20,long_beach,33.8524,-118.2924,0505,"{3036,3004,3028,3030,3101}",19,M,Hispanic,101,WESTERN,182ND_ST,23.9,18.3,0
200510888,2020-06-22,2020-06-22,04:10,long_beach,33.736,-118.2814,0566,"{3037,3011,3028,3030,3101}",19,M,Other,101,PALOS_VERDES_ST,9TH_ST,26.1,17.2,0
